"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";
"164";"Олег";"17";"62366388";"2015";"февраль";
"165";"Артур";"17";"62366389";"2015";"февраль";
"166";"Филипп";"15";"62366390";"2015";"февраль";
"167";"Савва";"15";"62366392";"2015";"февраль";
"168";"Дамир";"15";"62366393";"2015";"февраль";
"169";"Эмиль";"14";"62366394";"2015";"февраль";
"170";"Гордей";"14";"62366395";"2015";"февраль";
"171";"Борис";"14";"62366396";"2015";"февраль";
"172";"Анатолий";"13";"62366397";"2015";"февраль";
"173";"Демид";"13";"62366398";"2015";"февраль";
"174";"Адам";"13";"62366399";"2015";"февраль";
"175";"Вадим";"13";"62366400";"2015";"февраль";
"176";"Мирослав";"12";"62366401";"2015";"февраль";
"177";"Герман";"12";"62366402";"2015";"февраль";
"178";"Мухаммад";"11";"62366403";"2015";"февраль";
"179";"Родион";"10";"62366404";"2015";"февраль";
"180";"Демьян";"10";"62366405";"2015";"февраль";
"181";"Федор";"9";"62366406";"2015";"февраль";
"182";"Ян";"9";"62366407";"2015";"февраль";
"183";"Валерий";"9";"62366408";"2015";"февраль";
"184";"Арсен";"8";"62366409";"2015";"февраль";
"185";"Самир";"8";"62366410";"2015";"февраль";
"186";"Ибрагим";"8";"62366411";"2015";"февраль";
"187";"Сулейман";"8";"62366412";"2015";"февраль";
"188";"Юсуф";"8";"62366413";"2015";"февраль";
"189";"Роберт";"8";"62366415";"2015";"февраль";
"190";"Тигран";"7";"62366416";"2015";"февраль";
"191";"Серафим";"7";"62366417";"2015";"февраль";
"192";"Саид";"7";"62366418";"2015";"февраль";
"193";"Али";"7";"62366419";"2015";"февраль";
"194";"Аркадий";"7";"62366420";"2015";"февраль";
"195";"Виталий";"7";"62366421";"2015";"февраль";
"196";"Марсель";"6";"62366422";"2015";"февраль";
"197";"Эмин";"6";"62366423";"2015";"февраль";
"198";"Эмир";"6";"62366424";"2015";"февраль";
"199";"Ахмед";"6";"62366425";"2015";"февраль";
"200";"Камиль";"5";"62366426";"2015";"февраль";
"201";"Александр";"245";"62366427";"2015";"март";
"202";"Максим";"233";"62366428";"2015";"март";
"203";"Михаил";"226";"62366429";"2015";"март";
"204";"Артём";"191";"62366430";"2015";"март";
"205";"Иван";"186";"62366431";"2015";"март";
"206";"Даниил";"183";"62366432";"2015";"март";
"207";"Кирилл";"179";"62366433";"2015";"март";
"208";"Дмитрий";"170";"62366434";"2015";"март";
"209";"Тимофей";"144";"62366435";"2015";"март";
"210";"Егор";"143";"62366436";"2015";"март";
"211";"Илья";"127";"62366437";"2015";"март";
"212";"Алексей";"124";"62366438";"2015";"март";
"213";"Андрей";"111";"62366439";"2015";"март";
"214";"Марк";"109";"62366440";"2015";"март";
"215";"Владимир";"106";"62366441";"2015";"март";
"216";"Матвей";"97";"62366442";"2015";"март";
"217";"Никита";"97";"62366443";"2015";"март";
"218";"Роман";"95";"62366444";"2015";"март";
"219";"Фёдор";"86";"62366445";"2015";"март";
"220";"Ярослав";"81";"62366446";"2015";"март";
"221";"Сергей";"78";"62366447";"2015";"март";
"222";"Георгий";"74";"62366448";"2015";"март";
"223";"Владислав";"72";"62366449";"2015";"март";
"224";"Лев";"68";"62366450";"2015";"март";
"225";"Степан";"67";"62366451";"2015";"март";
"226";"Арсений";"66";"62366452";"2015";"март";
"227";"Николай";"66";"62366453";"2015";"март";
"228";"Тимур";"65";"62366455";"2015";"март";
"229";"Семён";"61";"62366456";"2015";"март";
"230";"Константин";"60";"62366457";"2015";"март";
"231";"Григорий";"53";"62366458";"2015";"март";
"232";"Макар";"51";"62366460";"2015";"март";
"233";"Глеб";"50";"62366461";"2015";"март";
"234";"Павел";"50";"62366462";"2015";"март";
"235";"Давид";"44";"62366463";"2015";"март";
"236";"Денис";"44";"62366464";"2015";"март";
"237";"Платон";"42";"62366466";"2015";"март";
"238";"Виктор";"37";"62366467";"2015";"март";
"239";"Данила";"35";"62366468";"2015";"март";
"240";"Руслан";"34";"62366469";"2015";"март";
"241";"Пётр";"32";"62366470";"2015";"март";
"242";"Евгений";"30";"62366472";"2015";"март";
"243";"Богдан";"27";"62366473";"2015";"март";
"244";"Демид";"27";"62366474";"2015";"март";
"245";"Антон";"27";"62366475";"2015";"март";
"246";"Всеволод";"27";"62366476";"2015";"март";
"247";"Игорь";"26";"62366478";"2015";"март";
"248";"Амир";"25";"62366479";"2015";"март";
"249";"Мирон";"25";"62366480";"2015";"март";
"250";"Захар";"25";"62366481";"2015";"март";
"251";"Леонид";"24";"62366483";"2015";"март";
"252";"Вадим";"23";"62366484";"2015";"март";
"253";"Юрий";"23";"62366485";"2015";"март";
"254";"Савелий";"21";"62366486";"2015";"март";
"255";"Олег";"20";"62366487";"2015";"март";
"256";"Вячеслав";"20";"62366488";"2015";"март";
"257";"Герман";"19";"62366489";"2015";"март";
"258";"Артем";"18";"62366490";"2015";"март";
"259";"Елисей";"18";"62366491";"2015";"март";
"260";"Василий";"18";"62366492";"2015";"март";
"261";"Даниэль";"18";"62366493";"2015";"март";
"262";"Святослав";"17";"62366494";"2015";"март";
"263";"Артур";"17";"62366495";"2015";"март";
"264";"Родион";"16";"62366496";"2015";"март";
"265";"Лука";"15";"62366497";"2015";"март";
"266";"Дамир";"14";"62366499";"2015";"март";
"267";"Артемий";"14";"62366500";"2015";"март";
"268";"Борис";"14";"62366501";"2015";"март";
"269";"Савва";"13";"62366502";"2015";"март";
"270";"Данил";"12";"62366503";"2015";"март";
"271";"Ян";"12";"62366504";"2015";"март";
"272";"Валерий";"12";"62366505";"2015";"март";
"273";"Станислав";"11";"62366506";"2015";"март";
"274";"Гордей";"11";"62366507";"2015";"март";
"275";"Мухаммад";"11";"62366508";"2015";"март";
"276";"Тихон";"11";"62366509";"2015";"март";
"277";"Мирослав";"11";"62366510";"2015";"март";
"278";"Юсуф";"10";"62366511";"2015";"март";
"279";"Рустам";"10";"62366512";"2015";"март";
"280";"Анатолий";"10";"62366513";"2015";"март";
"281";"Арсен";"9";"62366514";"2015";"март";
"282";"Ростислав";"9";"62366515";"2015";"март";
"283";"Эмир";"9";"62366516";"2015";"март";
"284";"Виталий";"9";"62366517";"2015";"март";
"285";"Умар";"9";"62366518";"2015";"март";
"286";"Роберт";"9";"62366519";"2015";"март";
"287";"Серафим";"9";"62366520";"2015";"март";
"288";"Адам";"9";"62366521";"2015";"март";
"289";"Демьян";"9";"62366522";"2015";"март";
"290";"Али";"8";"62366523";"2015";"март";
"291";"Магомед";"8";"62366524";"2015";"март";
"292";"Аслан";"8";"62366526";"2015";"март";
"293";"Яромир";"8";"62366527";"2015";"март";
"294";"Петр";"8";"62366528";"2015";"март";
"295";"Марат";"8";"62366529";"2015";"март";
"296";"Филипп";"7";"62366530";"2015";"март";
"297";"Самир";"7";"62366531";"2015";"март";
"298";"Марсель";"7";"62366532";"2015";"март";
"299";"Ильяс";"7";"62366533";"2015";"март";
"300";"Федор";"7";"62366534";"2015";"март";
"301";"Александр";"297";"62366535";"2015";"апрель";
"302";"Максим";"239";"62366536";"2015";"апрель";
"303";"Михаил";"225";"62366537";"2015";"апрель";
"304";"Артём";"219";"62366538";"2015";"апрель";
"305";"Иван";"209";"62366539";"2015";"апрель";
"306";"Даниил";"190";"62366540";"2015";"апрель";
"307";"Дмитрий";"181";"62366541";"2015";"апрель";
"308";"Егор";"164";"62366542";"2015";"апрель";
"309";"Кирилл";"154";"62366543";"2015";"апрель";
"310";"Алексей";"137";"62366544";"2015";"апрель";
"311";"Андрей";"133";"62366545";"2015";"апрель";
"312";"Ярослав";"125";"62366546";"2015";"апрель";
"313";"Илья";"124";"62366547";"2015";"апрель";
"314";"Никита";"124";"62366548";"2015";"апрель";
"315";"Тимофей";"123";"62366549";"2015";"апрель";
"316";"Владимир";"117";"62366550";"2015";"апрель";
"317";"Матвей";"111";"62366551";"2015";"апрель";
"318";"Фёдор";"97";"62366552";"2015";"апрель";
"319";"Роман";"96";"62366553";"2015";"апрель";
"320";"Марк";"91";"62366554";"2015";"апрель";
"321";"Сергей";"87";"62366555";"2015";"апрель";
"322";"Георгий";"73";"62366556";"2015";"апрель";
"323";"Степан";"71";"62366557";"2015";"апрель";
"324";"Константин";"71";"62366558";"2015";"апрель";
"325";"Владислав";"70";"62366559";"2015";"апрель";
"326";"Павел";"70";"62366560";"2015";"апрель";
"327";"Лев";"66";"62366561";"2015";"апрель";
"328";"Макар";"63";"62366562";"2015";"апрель";
"329";"Тимур";"60";"62366563";"2015";"апрель";
"330";"Николай";"55";"62366564";"2015";"апрель";
"331";"Семён";"52";"62366565";"2015";"апрель";
"332";"Денис";"51";"62366566";"2015";"апрель";
"333";"Арсений";"49";"62366567";"2015";"апрель";
"334";"Давид";"45";"62366568";"2015";"апрель";
"335";"Данила";"44";"62366569";"2015";"апрель";
"336";"Глеб";"43";"62366570";"2015";"апрель";
"337";"Евгений";"39";"62366571";"2015";"апрель";
"338";"Руслан";"39";"62366572";"2015";"апрель";
"339";"Игорь";"38";"62366574";"2015";"апрель";
"340";"Григорий";"38";"62366575";"2015";"апрель";
"341";"Мирон";"38";"62366576";"2015";"апрель";
"342";"Платон";"35";"62366577";"2015";"апрель";
"343";"Савелий";"35";"62366578";"2015";"апрель";
"344";"Богдан";"34";"62366579";"2015";"апрель";
"345";"Захар";"33";"62366581";"2015";"апрель";
"346";"Пётр";"31";"62366582";"2015";"апрель";
"347";"Вадим";"31";"62366583";"2015";"апрель";
"348";"Даниэль";"30";"62366585";"2015";"апрель";
"349";"Леонид";"29";"62366586";"2015";"апрель";
"350";"Артемий";"28";"62366587";"2015";"апрель";
"351";"Виктор";"28";"62366588";"2015";"апрель";
"352";"Юрий";"26";"62366589";"2015";"апрель";
"353";"Елисей";"26";"62366590";"2015";"апрель";
"354";"Святослав";"25";"62366591";"2015";"апрель";
"355";"Филипп";"24";"62366592";"2015";"апрель";
"356";"Антон";"24";"62366593";"2015";"апрель";
"357";"Артем";"24";"62366594";"2015";"апрель";
"358";"Олег";"23";"62366595";"2015";"апрель";
"359";"Артур";"22";"62366596";"2015";"апрель";
"360";"Амир";"22";"62366597";"2015";"апрель";
"361";"Василий";"21";"62366598";"2015";"апрель";
"362";"Вячеслав";"21";"62366599";"2015";"апрель";
"363";"Тихон";"18";"62366600";"2015";"апрель";
"364";"Адам";"17";"62366601";"2015";"апрель";
"365";"Демид";"17";"62366602";"2015";"апрель";
"366";"Мухаммад";"16";"62366603";"2015";"апрель";
"367";"Дамир";"15";"62366604";"2015";"апрель";
"368";"Мирослав";"14";"62366605";"2015";"апрель";
"369";"Савва";"14";"62366607";"2015";"апрель";
"370";"Данил";"14";"62366608";"2015";"апрель";
"371";"Роберт";"14";"62366609";"2015";"апрель";
"372";"Борис";"14";"62366610";"2015";"апрель";
"373";"Станислав";"13";"62366611";"2015";"апрель";
"374";"Лука";"13";"62366612";"2015";"апрель";
"375";"Герман";"13";"62366613";"2015";"апрель";
"376";"Амин";"12";"62366614";"2015";"апрель";
"377";"Анатолий";"12";"62366615";"2015";"апрель";
"378";"Умар";"12";"62366616";"2015";"апрель";
"379";"Всеволод";"12";"62366617";"2015";"апрель";
"380";"Родион";"11";"62366618";"2015";"апрель";
"381";"Марсель";"10";"62366619";"2015";"апрель";
"382";"Клим";"9";"62366620";"2015";"апрель";
"383";"Федор";"9";"62366621";"2015";"апрель";
"384";"Серафим";"9";"62366622";"2015";"апрель";
"385";"Али";"8";"62366623";"2015";"апрель";
"386";"Эмин";"8";"62366624";"2015";"апрель";
"387";"Яков";"7";"62366625";"2015";"апрель";
"388";"Расул";"7";"62366626";"2015";"апрель";
"389";"Гордей";"7";"62366627";"2015";"апрель";
"390";"Марат";"7";"62366628";"2015";"апрель";
"391";"Камиль";"7";"62366629";"2015";"апрель";
"392";"Ислам";"7";"62366630";"2015";"апрель";
"393";"Сулейман";"6";"62366631";"2015";"апрель";
"394";"Тамерлан";"6";"62366632";"2015";"апрель";
"395";"Демьян";"6";"62366634";"2015";"апрель";
"396";"Арслан";"6";"62366635";"2015";"апрель";
"397";"Прохор";"6";"62366636";"2015";"апрель";
"398";"Арсен";"6";"62366637";"2015";"апрель";
"399";"Микаэль";"6";"62366638";"2015";"апрель";
"400";"Игнат";"5";"62366639";"2015";"апрель";
"401";"Александр";"318";"62366640";"2015";"май";
"402";"Максим";"243";"62366641";"2015";"май";
"403";"Михаил";"225";"62366642";"2015";"май";
"404";"Иван";"216";"62366643";"2015";"май";
"405";"Артём";"216";"62366644";"2015";"май";
"406";"Дмитрий";"187";"62366645";"2015";"май";
"407";"Даниил";"159";"62366646";"2015";"май";
"408";"Кирилл";"156";"62366647";"2015";"май";
"409";"Андрей";"142";"62366648";"2015";"май";
"410";"Егор";"130";"62366649";"2015";"май";
"411";"Никита";"129";"62366650";"2015";"май";
"412";"Илья";"123";"62366651";"2015";"май";
"413";"Тимофей";"115";"62366652";"2015";"май";
"414";"Алексей";"114";"62366653";"2015";"май";
"415";"Роман";"107";"62366654";"2015";"май";
"416";"Владимир";"103";"62366655";"2015";"май";
"417";"Марк";"95";"62366656";"2015";"май";
"418";"Матвей";"93";"62366657";"2015";"май";
"419";"Ярослав";"92";"62366658";"2015";"май";
"420";"Георгий";"91";"62366659";"2015";"май";
"421";"Лев";"79";"62366660";"2015";"май";
"422";"Глеб";"77";"62366661";"2015";"май";
"423";"Константин";"73";"62366662";"2015";"май";
"424";"Николай";"71";"62366663";"2015";"май";
"425";"Фёдор";"67";"62366664";"2015";"май";
"426";"Сергей";"64";"62366665";"2015";"май";
"427";"Степан";"63";"62366666";"2015";"май";
"428";"Владислав";"60";"62366667";"2015";"май";
"429";"Арсений";"58";"62366668";"2015";"май";
"430";"Тимур";"56";"62366669";"2015";"май";
"431";"Григорий";"46";"62366670";"2015";"май";
"432";"Павел";"46";"62366671";"2015";"май";
"433";"Денис";"46";"62366672";"2015";"май";
"434";"Семён";"46";"62366673";"2015";"май";
"435";"Виктор";"45";"62366674";"2015";"май";
"436";"Руслан";"42";"62366675";"2015";"май";
"437";"Давид";"40";"62366676";"2015";"май";
"438";"Юрий";"40";"62366677";"2015";"май";
"439";"Макар";"38";"62366678";"2015";"май";
"440";"Платон";"35";"62366679";"2015";"май";
"441";"Пётр";"34";"62366680";"2015";"май";
"442";"Вячеслав";"32";"62366681";"2015";"май";
"443";"Леонид";"32";"62366682";"2015";"май";
"444";"Артемий";"31";"62366683";"2015";"май";
"445";"Антон";"31";"62366684";"2015";"май";
"446";"Игорь";"30";"62366685";"2015";"май";
"447";"Данила";"29";"62366686";"2015";"май";
"448";"Вадим";"29";"62366688";"2015";"май";
"449";"Богдан";"27";"62366689";"2015";"май";
"450";"Евгений";"26";"62366690";"2015";"май";
"451";"Олег";"26";"62366691";"2015";"май";
"452";"Святослав";"26";"62366692";"2015";"май";
"453";"Мирон";"24";"62366693";"2015";"май";
"454";"Елисей";"22";"62366695";"2015";"май";
"455";"Всеволод";"21";"62366696";"2015";"май";
"456";"Василий";"19";"62366697";"2015";"май";
"457";"Роберт";"18";"62366698";"2015";"май";
"458";"Савелий";"18";"62366699";"2015";"май";
"459";"Артур";"18";"62366701";"2015";"май";
"460";"Филипп";"17";"62366702";"2015";"май";
"461";"Захар";"17";"62366703";"2015";"май";
"462";"Даниэль";"17";"62366704";"2015";"май";
"463";"Умар";"17";"62366705";"2015";"май";
"464";"Али";"17";"62366707";"2015";"май";
"465";"Савва";"17";"62366708";"2015";"май";
"466";"Адам";"17";"62366709";"2015";"май";
"467";"Тихон";"17";"62366710";"2015";"май";
"468";"Артем";"16";"62366712";"2015";"май";
"469";"Амир";"16";"62366713";"2015";"май";
"470";"Родион";"16";"62366714";"2015";"май";
"471";"Герман";"15";"62366715";"2015";"май";
"472";"Мухаммад";"15";"62366716";"2015";"май";
"473";"Станислав";"15";"62366717";"2015";"май";
"474";"Борис";"14";"62366718";"2015";"май";
"475";"Демид";"13";"62366719";"2015";"май";
"476";"Серафим";"13";"62366720";"2015";"май";
"477";"Марат";"12";"62366721";"2015";"май";
"478";"Яков";"11";"62366722";"2015";"май";
"479";"Мирослав";"11";"62366723";"2015";"май";
"480";"Ибрагим";"11";"62366724";"2015";"май";
"481";"Лука";"10";"62366725";"2015";"май";
"482";"Дамир";"10";"62366726";"2015";"май";
"483";"Данил";"10";"62366727";"2015";"май";
"484";"Валерий";"10";"62366728";"2015";"май";
"485";"Гордей";"9";"62366729";"2015";"май";
"486";"Виталий";"9";"62366730";"2015";"май";
"487";"Эмир";"9";"62366731";"2015";"май";
"488";"Ислам";"9";"62366732";"2015";"май";
"489";"Юсуф";"9";"62366734";"2015";"май";
"490";"Эмиль";"8";"62366735";"2015";"май";
"491";"Мартин";"7";"62366736";"2015";"май";
"492";"Магомед";"7";"62366737";"2015";"май";
"493";"Данис";"7";"62366738";"2015";"май";
"494";"Ильяс";"7";"62366739";"2015";"май";
"495";"Камиль";"7";"62366740";"2015";"май";
"496";"Эмин";"7";"62366741";"2015";"май";
"497";"Ян";"7";"62366742";"2015";"май";
"498";"Яромир";"7";"62366743";"2015";"май";
"499";"Анатолий";"7";"62366744";"2015";"май";
"500";"Леон";"7";"62366745";"2015";"май";
"501";"Александр";"281";"62366746";"2015";"июнь";
"502";"Артём";"262";"62366747";"2015";"июнь";
"503";"Максим";"262";"62366748";"2015";"июнь";
"504";"Иван";"262";"62366749";"2015";"июнь";
"505";"Михаил";"238";"62366750";"2015";"июнь";
"506";"Дмитрий";"216";"62366751";"2015";"июнь";
"507";"Даниил";"208";"62366752";"2015";"июнь";
"508";"Кирилл";"156";"62366753";"2015";"июнь";
"509";"Никита";"153";"62366754";"2015";"июнь";
"510";"Егор";"145";"62366755";"2015";"июнь";
"511";"Тимофей";"142";"62366756";"2015";"июнь";
"512";"Андрей";"137";"62366757";"2015";"июнь";
"513";"Алексей";"136";"62366758";"2015";"июнь";
"514";"Матвей";"130";"62366759";"2015";"июнь";
"515";"Роман";"116";"62366760";"2015";"июнь";
"516";"Илья";"114";"62366761";"2015";"июнь";
"517";"Ярослав";"112";"62366762";"2015";"июнь";
"518";"Владимир";"105";"62366763";"2015";"июнь";
"519";"Марк";"99";"62366764";"2015";"июнь";
"520";"Степан";"89";"62366765";"2015";"июнь";
"521";"Константин";"88";"62366766";"2015";"июнь";
"522";"Фёдор";"80";"62366767";"2015";"июнь";
"523";"Лев";"78";"62366768";"2015";"июнь";
"524";"Сергей";"76";"62366769";"2015";"июнь";
"525";"Глеб";"74";"62366770";"2015";"июнь";
"526";"Владислав";"68";"62366771";"2015";"июнь";
"527";"Денис";"66";"62366773";"2015";"июнь";
"528";"Николай";"65";"62366774";"2015";"июнь";
"529";"Георгий";"64";"62366775";"2015";"июнь";
"530";"Арсений";"62";"62366776";"2015";"июнь";
"531";"Павел";"61";"62366777";"2015";"июнь";
"532";"Тимур";"58";"62366778";"2015";"июнь";
"533";"Данила";"56";"62366779";"2015";"июнь";
"534";"Макар";"52";"62366780";"2015";"июнь";
"535";"Руслан";"50";"62366781";"2015";"июнь";
"536";"Давид";"46";"62366782";"2015";"июнь";
"537";"Семён";"46";"62366783";"2015";"июнь";
"538";"Евгений";"43";"62366784";"2015";"июнь";
"539";"Григорий";"43";"62366785";"2015";"июнь";
